,Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,Year,dates_proccessed,Suspect Surrendered,Suspect Captured,Suspects Suicide,Suspects Killed by Cop
156,152960,"June 28, 2014",California,Antioch,5500 Cedar Point Way,0,7,0,0,0,,,2014-06-28,0,0,0,0
157,153578,"June 28, 2014",New York,Manhattan,Fifth Avenue and West 139th Street,0,4,0,0,0,,,2014-06-28,0,0,0,0
158,152722,"June 27, 2014",California,San Diego,1600 block of Cathy Street,1,3,0,0,0,,,2014-06-27,0,0,0,0
159,151659,"June 26, 2014",Wisconsin,Milwaukee,24th and Locust,0,5,0,0,0,,,2014-06-26,0,0,0,0
160,157018,"June 26, 2014",Michigan,Detroit,Grand St,2,2,0,0,0,,,2014-06-26,0,0,0,0
161,151475,"June 25, 2014",Massachusetts,Lowell,Midland Street,0,5,0,0,0,,,2014-06-25,0,0,0,0
162,150299,"June 24, 2014",Florida,Miami,Northwest 12th Avenue and 65th Street,2,7,0,0,0,,,2014-06-24,0,0,0,0
163,154136,"June 22, 2014",California,Windsor,Windsor Avenue,1,3,0,0,0,,,2014-06-22,0,0,0,0
164,150344,"June 21, 2014",Tennessee,Memphis,2119 East Alcy Road,0,5,0,0,7,,,2014-06-21,0,7,0,0
165,149954,"June 21, 2014",District of Columbia,Washington,Florida Ave NW and U St NW,0,4,0,0,0,,,2014-06-21,0,0,0,0
166,157013,"June 20, 2014",Maryland,Seat Pleasant,6600 block of Greig Street,0,4,0,0,0,,,2014-06-20,0,0,0,0
167,146565,"June 15, 2014",Indiana,Kokomo,5100 Clinton Drive,0,4,0,0,0,,,2014-06-15,0,0,0,0
168,146586,"June 15, 2014",Illinois,Park Forest,200 Berry Street,0,4,0,0,0,,,2014-06-15,0,0,0,0
169,149706,"June 13, 2014",California,Los Angeles,8600 block of South Figueroa Street,3,1,0,0,0,,,2014-06-13,0,0,0,0
170,156245,"June 9, 2014",New Jersey,Paterson,Rosa Parks Boulevard and Godwin Avenue,0,6,0,0,0,,,2014-06-09,0,0,0,0
171,144524,"June 8, 2014",Florida,Fort Myers,17372 Phlox Drive,4,0,1,0,0,,,2014-06-08,0,0,1,0
172,144565,"June 8, 2014",Alabama,Opp,611 Hardin Street,1,4,0,0,1,,,2014-06-08,0,1,0,0
173,143979,"June 7, 2014",Michigan,Oak Park,10811 W. Ten Mile Rd.,1,3,0,0,0,,,2014-06-07,0,0,0,0
174,143723,"June 7, 2014",South Carolina,Moncks Corner,Tish Lane,1,5,0,0,0,,,2014-06-07,0,0,0,0
175,142822,"June 4, 2014",Illinois,Chicago,4900 West West End Avenue,1,3,0,0,0,,,2014-06-04,0,0,0,0
176,142818,"June 3, 2014",Georgia,Atlanta,Auburn Avenue,1,4,0,0,1,,,2014-06-03,0,1,0,0
177,142076,"June 2, 2014",Illinois,Chicago,2660 E. 79th St,0,7,0,0,0,,,2014-06-02,0,0,0,0
178,141792,"June 1, 2014",California,Sacramento,6500 46th Street,0,4,0,0,0,,,2014-06-01,0,0,0,0
179,141382,"June 1, 2014",Illinois,Chicago,West Ferdinand Street and North Lavergne Avenue ,1,5,0,0,0,,,2014-06-01,0,0,0,0
180,153532,"May 31, 2014",California,San Bernardino,800 block of West Victoria St,1,3,0,0,0,,,2014-05-31,0,0,0,0
181,139281,"May 25, 2014",Ohio,Toledo,2100 block of Joffre Avenue,1,3,0,0,0,,,2014-05-25,0,0,0,0
182,138567,"May 24, 2014",Michigan,Detroit,Strathmoor St,0,4,0,0,0,,,2014-05-24,0,0,0,0
183,138645,"May 24, 2014",South Carolina,Myrtle Beach,104 N Ocean Blvd,3,1,0,0,0,,,2014-05-24,0,0,0,0
184,140185,"May 23, 2014",Louisiana,New Orleans,6200 block of Eads Street,1,7,0,0,0,,,2014-05-23,0,0,0,0
